78,1191,9380,Bendemeer Public School,Charles St,17,0,904,Primary School,Coed,1730,2355,Bendemeer,20170307
79,1196,9414,Ben Lomond Public School,Inn Rd,7,0,1002,Primary School,Coed,1792,2365,Ben Lomond,20170307
80,1198,9374,Ben Venue Public School,Erskine St,565,16,1022,Primary School,Coed,1690,2350,Armidale,20170307
81,1199,5498,Berala Public School,Harrow Rd,852,96,1000,Primary School,Coed,734,2141,Berala,20170307
82,1201,9183,Beresfield Public School,181-183 Anderson Dr (Cnr Lawson Ave),290,3,916,Primary School,Coed,1368,2322,Beresfield,20170307
83,1202,9969,Berkeley Public School,George St,335,29,906,Primary School,Coed,3002,2506,Berkeley,20170307
84,1203,8706,Berkeley Vale Public School,Pindarri Ave,775,4,990,Primary School,Coed,1113,2259,Berkeley Vale,20170307
85,1204,10178,Bermagui Public School,George St,169,6,928,Primary School,Coed,3269,2546,Bermagui,20170307
86,1205,7676,Berowra Public School,Hillcrest Rd,395,12,1095,Primary School,Coed,581,2081,Berowra,20170307
87,1206,10424,Berridale Public School,Oliver St,71,np,986,Primary School,Coed,3860,2628,Berridale,20170307
88,1207,10636,Berrigan Public School,25-29 Momalong St,82,np,952,Primary School,Coed,4303,2712,Berrigan,20170307
89,1209,10244,Berrima Public School,Oxley St,140,7,1027,Primary School,Coed,3476,2577,Berrima,20170307
90,1211,10052,Berry Public School,Victoria St,338,7,1069,Primary School,Coed,3097,2535,Berry,20170307
91,1215,8601,Beverly Hills Public School,Stoney Creek & King Georges Rds,527,83,1050,Primary School,Coed,906,2209,Beverly Hills,20170307
92,1217,9778,Bexhill Public School,12 Withers St,103,7,1037,Primary School,Coed,2799,2480,Bexhill,20170307
93,1223,10416,Bigga Public School,Blackman St,13,0,1022,Primary School,Coed,3586,2583,Bigga,20170307
94,1224,9923,Bilambil Public School,Bilambil Rd,312,4,990,Primary School,Coed,2958,2486,Bilambil,20170307
95,1227,14695,Ocean Shores Public School,166 Shara Boulevarde,357,16,1044,Primary School,Coed,2893,2483,Ocean Shores,20170307
96,1228,10761,Bilpin Public School,Bells Line of Road,67,np,1022,Primary School,Coed,4505,2758,Bilpin,20170307
97,1230,10282,Binalong Public School,Dickinson Street,30,np,976,Primary School,Coed,3612,2584,Binalong,20170307
98,1231,10417,Binda Public School,Queen St,11,0,776,Primary School,Coed,3587,2583,Binda,20170307
99,1234,9506,Bingara Central School,Finch St,197.2,np,912,Central/Community School,Coed,1962,2404,Bingara,20170307
100,1237,16165,Binnaway Central School,David St,66.6,9,832,Central/Community School,Coed,1931,2395,Binnaway,20170307
101,1238,10523,Binya Public School,16 Stephensons Rd,13,0,1011,Primary School,Coed,4157,2665,Binya,20170307
102,1240,5798,Birchgrove Public School,Birchgrove Rd,356,25,1156,Primary School,Coed,495,2041,Balmain,20170307
103,1246,10873,Blackheath Public School,Leichhardt St,332,11,1077,Primary School,Coed,4602,2785,Blackheath,20170307
104,1247,9186,Black Hill Public School,408 Black Hill Rd,103,np,1009,Primary School,Coed,1369,2322,Black Hill,20170307
105,1249,9415,Black Mountain Public School,815 Black Mountain Rd,32,0,976,Primary School,Coed,1793,2365,Black Mountain,20170307
106,1252,9362,Blackville Public School,O'Neile St,15,0,939,Primary School,Coed,1646,2343,Blackville,20170307
107,1254,9780,Blakebrook Public School,Rosehill Rd,94,np,1002,Primary School,Coed,2800,2480,Blakebrook,20170307
108,1255,16167,Blakehurst Public School,Dewrang St,288,67,1027,Primary School,Coed,939,2221,Blakehurst,20170307
109,1256,9340,Blandford Public School,New England Hwy,41,np,999,Primary School,Coed,1586,2338,Blandford,20170307
110,1257,7791,Blaxcell Street Public School,352 Blaxcell Street,810,96,951,Primary School,Coed,396,2142,Granville,20170307
111,1258,5309,Blaxland Public School,Baden Place,141,10,1043,Primary School,Coed,4563,2774,Blaxland,20170307
112,1260,10999,Blayney Public School,Lindsay St,293,3,959,Primary School,Coed,4785,2799,Blayney,20170307
113,1261,10637,Blighty Public School,Blighty School Rd,30,np,983,Primary School,Coed,4305,2713,Blighty,20170307
114,1266,9654,Boambee Public School,30 Lindsays Rd,428,5,985,Primary School,Coed,2378,2450,Boambee,20170307
115,1269,9539,Bobin Public School,Bulga Rd,13,np,998,Primary School,Coed,2122,2429,Bobin,20170307
116,1271,9128,Bobs Farm Public School,764 Marsh Rd,31,np,984,Primary School,Coed,1303,2316,Bobs Farm,20170307
117,1272,10175,Bodalla Public School,Potato Point Rd,89,np,915,Primary School,Coed,3262,2545,Bodalla,20170307
118,1274,11105,Bogan Gate Public School,5 Bogan Street,8,0,903,Primary School,Coed,5254,2876,Bogan Gate,20170307
119,1275,14959,Boggabilla Central School,South St,78.6,np,626,Central/Community School,Coed,1975,2409,Boggabilla,20170307
120,1276,9487,Boggabri Public School,Merton St,118,0,878,Primary School,Coed,1897,2382,Boggabri,20170307
121,1286,9156,Bolwarra Public School,Bolwarra Rd,473,5,1041,Primary School,Coed,1322,2320,Bolwarra,20170307
122,1287,10168,Bomaderry Public School,Cambewarra Rd,332,7,897,Primary School,Coed,3254,2541,Bomaderry,20170307
123,1288,10436,Bombala Public School,8 Bright St,124,np,947,Primary School,Coed,3932,2632,Bombala,20170307
124,1290,6443,Bonalbo Central School,Yabbra St,144.2,5,880,Central/Community School,Coed,2590,2469,Bonalbo,20170307
125,1292,4421,Bondi Beach Public School,Campbell Pde,604,25,1144,Primary School,Coed,454,2026,Bondi Beach,20170307
126,1293,10666,Bongongo Public School,Adjungbilly Rd,13,0,928,Primary School,Coed,4373,2727,Adjungbilly,20170307
127,1296,16154,Bonshaw Public School,Texas St,14,np,1007,Primary School,Coed,1785,2361,Bonshaw,20170307
128,1297,9630,Bonville Public School,11 Gleniffer Rd,140,6,1007,Primary School,Coed,2255,2441,Bonville,20170307
129,1302,8988,Boolaroo Public School,Main Rd & Second St,52,np,903,Primary School,Coed,1200,2284,Boolaroo,20170307
130,1303,10631,Booligal Public School,Harvey St,10,0,1055,Primary School,Coed,4290,2711,Booligal,20170307
131,1307,9508,Boomi Public School,Werrina Street,33,np,920,Primary School,Coed,1970,2405,Boomi,20170307
132,1311,9532,Booral Public School,2800 Bucketts Way,71,np,950,Primary School,Coed,2092,2425,Booral,20170307
